PeakID (cmd=annotatePeaks.pl 07_macs2_peaks_calling/cKO_peaks.narrowPeak mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
cKO_peak_10617	chr9	95857687	95858428	+	315	NA	promoter-TSS (NR_073361)	promoter-TSS (NR_073361)	-175	NM_001271569	73410	Mm.443314	NM_028533	ENSMUSG00000096655	1700065D16Rik	-	RIKEN cDNA 1700065D16 gene	protein-coding
cKO_peak_8532	chr6	72898695	72900442	+	315	NA	promoter-TSS (NM_001347231)	promoter-TSS (NM_001347231)	-276	NM_001347231	74287	Mm.29194	NM_019715	ENSMUSG00000055239	Kcmf1	1700094M07Rik|Debt91|Pmcf	potassium channel modulatory factor 1	protein-coding
cKO_peak_3989	chr16	30388175	30389069	+	315	NA	promoter-TSS (NM_001128094)	promoter-TSS (NM_001128094)	-92	NM_001128096	224088	Mm.8924	NM_001128094	ENSMUSG00000022533	Atp13a3	AU022875|Gm1745|Gm541|Gm542	ATPase type 13A3	protein-coding
cKO_peak_7721	chr5	34573327	34574282	+	315	NA	promoter-TSS (NR_106111)	promoter-TSS (NR_106111)	140	NM_013457	11518	Mm.289106	NM_013457	ENSMUSG00000029106	Add1	AI256389	adducin 1 (alpha)	protein-coding
cKO_peak_7824	chr5	73292749	73293334	+	315	NA	intron (NM_001159887, intron 1 of 7)	CpG	247	NM_001159889	68095	Mm.247039	NM_023429	ENSMUSG00000029152	Ociad1	6030432N09Rik|AI481327|AW557942|Asrij|B230209J16Rik|BB021357|Emi2|Imi2|OCIA|TPA018	OCIA domain containing 1	protein-coding
cKO_peak_7307	chr4	129600295	129601106	+	315	NA	promoter-TSS (NM_018799)	promoter-TSS (NM_018799)	20	NM_001368258	76799	Mm.293096	NM_029748	ENSMUSG00000028797	Tmem234	1500002D11Rik|2510006D16Rik|4933407D05Rik	transmembrane protein 234	protein-coding
cKO_peak_8438	chr6	47877444	47878271	+	315	NA	intron (NM_146175, intron 1 of 7)	CpG	302	NM_146175	101095	Mm.440186	NM_146175	ENSMUSG00000025821	Zfp282	AI449432|C81429|E430019K09Rik|HUB1	zinc finger protein 282	protein-coding
cKO_peak_5071	chr19	5728933	5729638	+	315	NA	exon (NM_023166, exon 1 of 2)	exon (NM_023166, exon 1 of 2)	381	NM_023166	17826	Mm.391142	NM_023166	ENSMUSG00000024939	Fam89b	1110021A21Rik|MMTV|Mtvr2	family with sequence similarity 89, member B	protein-coding
cKO_peak_3971	chr16	23107755	23108371	+	315	NA	promoter-TSS (NR_030705)	promoter-TSS (NR_030705)	595	NM_001123038	13682	Mm.260084	NM_013506	ENSMUSG00000022884	Eif4a2	4833432N07Rik|BM-010|Ddx2b|Eif4|eIF-4A-II|eIF4A-II	eukaryotic translation initiation factor 4A2	protein-coding
cKO_peak_9431	chr7	122969980	122970815	+	315	NA	promoter-TSS (NM_011247)	promoter-TSS (NM_011247)	62	NR_045614	73951	Mm.389936	NR_045614		4930413G21Rik	-	RIKEN cDNA 4930413G21 gene	ncRNA
cKO_peak_6095	chr2	155236284	155237006	+	315	NA	promoter-TSS (NM_001291108)	promoter-TSS (NM_001291108)	37	NR_111890	67068	Mm.23693	NM_025947	ENSMUSG00000047459	Dynlrb1	2010012N15Rik|2010320M17Rik|9430076K19Rik|AV124457|DNLC2A|Dncl2a|km23-1	dynein light chain roadblock-type 1	protein-coding
cKO_peak_3032	chr14	20545799	20546539	+	315	NA	promoter-TSS (NR_033571)	promoter-TSS (NR_033571)	-124	NR_033571	75602	Mm.437061	NR_033571	ENSMUSG00000084925	1810062O18Rik	-	RIKEN cDNA 1810062O18 gene	ncRNA
cKO_peak_3745	chr15	96284817	96285852	+	315	NA	Intergenic	CpG	-2188	NM_175251	77044	Mm.17166	NM_175251	ENSMUSG00000033237	Arid2	1700124K17Rik|4432409D24Rik|BAF200|zipzap/p200	AT rich interactive domain 2 (ARID, RFX-like)	protein-coding
cKO_peak_6789	chr3	146812199	146813482	+	315	NA	5' UTR (NM_011100, exon 1 of 10)	5' UTR (NM_011100, exon 1 of 10)	106	NM_011100	18749	Mm.16766	NM_011100	ENSMUSG00000005034	Prkacb	CbPKA|Pkacb	protein kinase, cAMP dependent, catalytic, beta	protein-coding
cKO_peak_1975	chr11	109650261	109651837	+	315	NA	promoter-TSS (NM_001362677)	promoter-TSS (NM_001362677)	187	NM_001313976	19084	Mm.30039	NM_021880	ENSMUSG00000020612	Prkar1a	1300018C22Rik|RIalpha|Tse-1|Tse1	protein kinase, cAMP dependent regulatory, type I, alpha	protein-coding
cKO_peak_9372	chr7	110613844	110615578	+	315	NA	exon (NM_177324, exon 1 of 41)	exon (NM_177324, exon 1 of 41)	209	NM_177324	319934	Mm.102970	NM_177324	ENSMUSG00000038371	Sbf2	4833411B01Rik|AA414977|AI317167|B430219L04Rik|Mtmr13|mMTMH1	SET binding factor 2	protein-coding
cKO_peak_9753	chr8	47713207	47713895	+	315	NA	exon (NM_172407, exon 1 of 3)	exon (NM_172407, exon 1 of 3)	380	NM_001359133	70925	Mm.393807	NM_172407	ENSMUSG00000038069	Cdkn2aip	4921511I16Rik|AW208986|CARF	CDKN2A interacting protein	protein-coding
cKO_peak_10414	chr9	53666639	53667571	+	315	NA	5' UTR (NM_001161618, exon 1 of 18)	5' UTR (NM_001161618, exon 1 of 18)	402	NM_001161618	75717	Mm.218910	NM_027807	ENSMUSG00000032030	Cul5	4921514I20Rik|8430423K24Rik|AI852817|C030032G03Rik|C330021I08Rik|VACM-1|VACM1	cullin 5	protein-coding
cKO_peak_2932	chr13	103919871	103921100	+	315	NA	5' UTR (NM_001289473, exon 1 of 26)	5' UTR (NM_001289473, exon 1 of 26)	101	NM_001289474	59079	Mm.277354	NM_021563	ENSMUSG00000021709	Erbin	1700028E05Rik|Erbb2ip|mKIAA1225	Erbb2 interacting protein	protein-coding
cKO_peak_7703	chr5	33335299	33336175	+	315	NA	intron (NM_021500, intron 1 of 8)	CpG	165	NM_021500	59003	Mm.138617	NM_021500	ENSMUSG00000079562	Maea	1110030D19Rik|EMP|Gid9	macrophage erythroblast attacher	protein-coding
cKO_peak_1789	chr11	94321296	94322277	+	315	NA	exon (NM_001361575, exon 1 of 11)	exon (NM_001361575, exon 1 of 11)	177	NM_001361573	67684	Mm.30927	NM_026313	ENSMUSG00000020863	Luc7l3	3300001P08Rik|Luc7a	LUC7-like 3 (S. cerevisiae)	protein-coding
cKO_peak_6242	chr2	180701411	180702341	+	315	NA	intron (NM_177852, intron 1 of 14)	CpG	226	NM_175551	23856	Mm.253836	NM_011805	ENSMUSG00000038914	Dido1	6720461J16Rik|D130048F08Rik|DATF-1|DIO-1|Datf1|dido	death inducer-obliterator 1	protein-coding
cKO_peak_8312	chr6	8509414	8510439	+	315	NA	promoter-TSS (NR_040452)	promoter-TSS (NR_040452)	326	NM_133236	170772	Mm.210787	NM_133236	ENSMUSG00000029638	Glcci1	2310047L21Rik|A130036A18Rik|Fam117c|Gig18|Tssn1	glucocorticoid induced transcript 1	protein-coding
cKO_peak_1660	chr11	76846286	76847012	+	315	NA	exon (NM_007754, exon 1 of 21)	exon (NM_007754, exon 1 of 21)	359	NM_007754	12874	Mm.276736	NM_007754	ENSMUSG00000020841	Cpd	AA960140|AW322530|D830034L15Rik	carboxypeptidase D	protein-coding
cKO_peak_9566	chr7	142094662	142095787	+	315	NA	promoter-TSS (NM_008748)	promoter-TSS (NM_008748)	60	NM_008748	18218	Mm.39725	NM_008748	ENSMUSG00000037887	Dusp8	5530400B01Rik|AI593498|Nttp1	dual specificity phosphatase 8	protein-coding
cKO_peak_4568	chr17	56934974	56935642	+	315	NA	promoter-TSS (NM_022328)	promoter-TSS (NM_022328)	80	NM_022328	64144	Mm.148748	NM_022328	ENSMUSG00000024212	Mllt1	AA407901|BAM11|ENL|LTG19	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 1	protein-coding
cKO_peak_4363	chr17	28800649	28802096	+	315	NA	intron (NM_001081315, intron 1 of 12)	CpG	246	NM_001081315	268936	Mm.291877	NM_199061	ENSMUSG00000063952	Brpf3	AI413466|AW493400|mKIAA1286	bromodomain and PHD finger containing, 3	protein-coding
cKO_peak_5167	chr19	16132319	16134183	+	315	NA	5' UTR (NM_008139, exon 1 of 7)	5' UTR (NM_008139, exon 1 of 7)	567	NM_008139	14682	Mm.439701	NM_008139	ENSMUSG00000024639	Gnaq	1110005L02Rik|6230401I02Rik|AA408290|AW060788|Dsk1|Dsk10|Galphaq|Gq|GqI	guanine nucleotide binding protein, alpha q polypeptide	protein-coding
cKO_peak_7106	chr4	100776364	100778056	+	315	NA	exon (NM_198037, exon 1 of 27)	exon (NM_198037, exon 1 of 27)	531	NM_198037	320508	Mm.151962	NM_198037	ENSMUSG00000028532	Cachd1	1190007F10Rik|AI852726|B430218L07Rik|Vwcd1|mKIAA1573	cache domain containing 1	protein-coding
cKO_peak_436	chr1	143702093	143703297	+	315	NA	5' UTR (NM_145991, exon 1 of 17)	5' UTR (NM_145991, exon 1 of 17)	198	NM_145991	214498	Mm.156727	NM_145991	ENSMUSG00000026361	Cdc73	8430414L16Rik|C130030P16Rik|C81219|Hrpt2	cell division cycle 73, Paf1/RNA polymerase II complex component	protein-coding
cKO_peak_3574	chr15	76343487	76344053	+	315	NA	intron (NM_025567, intron 1 of 6)	CpG	247	NM_025567	66445	Mm.29196	NM_025567	ENSMUSG00000022551	Cyc1	2610002H19Rik|AA408921|Cyct1	cytochrome c-1	protein-coding
cKO_peak_2630	chr13	30544838	30545353	+	315	NA	exon (NM_025710, exon 1 of 2)	exon (NM_025710, exon 1 of 2)	221	NM_025710	66694	Mm.181933	NM_025710	ENSMUSG00000038462	Uqcrfs1	4430402G14Rik|AI875505	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	protein-coding
cKO_peak_8803	chr6	136827565	136828218	+	315	NA	promoter-TSS (NM_178776)	promoter-TSS (NM_178776)	325	NM_021714	60321	Mm.141197	NM_021714	ENSMUSG00000030216	Wbp11	2510026P17Rik|D6Wsu113e|Npwbp|SIPP1	WW domain binding protein 11	protein-coding
cKO_peak_9297	chr7	97788338	97789338	+	315	NA	5' UTR (NM_001357365, exon 1 of 15)	5' UTR (NM_001357365, exon 1 of 15)	297	NM_001357365	18479	Mm.260227	NM_011035	ENSMUSG00000030774	Pak1	AW045634|PAK-1|Paka	p21 (RAC1) activated kinase 1	protein-coding
cKO_peak_9024	chr7	29983584	29984342	+	315	NA	promoter-TSS (NM_001167873)	promoter-TSS (NM_001167873)	8	NM_001167872	243905	Mm.322432	NM_001033355	ENSMUSG00000074221	Zfp568	C80731|Gm1691|Znf568|chato	zinc finger protein 568	protein-coding
cKO_peak_3598	chr15	77841322	77842171	+	315	NA	intron (NM_022410, intron 1 of 40)	CpG	429	NM_022410	17886	Mm.29677	NM_022410	ENSMUSG00000022443	Myh9	Fltn|Myhn-1|Myhn1|NMHCIIA|NMMHC-A|NMMHC-IIA|TU72.6	myosin, heavy polypeptide 9, non-muscle	protein-coding
cKO_peak_1810	chr11	96064683	96065402	+	315	NA	exon (NM_172300, exon 1 of 7)	exon (NM_172300, exon 1 of 7)	322	NM_172300	268470	Mm.38802	NM_172300	ENSMUSG00000014349	Ube2z	AW049199|C030047H17Rik|D11Moh35	ubiquitin-conjugating enzyme E2Z	protein-coding
cKO_peak_7380	chr4	135352563	135353210	+	315	NA	intron (NM_016799, intron 1 of 17)	CpG	260	NM_001369069	51796	Mm.1963	NM_016799	ENSMUSG00000028809	Srrm1	AA407769|POP101|Srm160	serine/arginine repetitive matrix 1	protein-coding
cKO_peak_5769	chr2	91730149	91730781	+	315	NA	intron (NM_001080754, intron 1 of 18)	GC_rich|Low_complexity|Low_complexity	327	NM_172669	228361	Mm.436667	NM_172669	ENSMUSG00000040506	Ambra1	2310079H06Rik|A130023A14|AA474864|AV021921|D030051N19Rik|mKIAA1736	autophagy/beclin 1 regulator 1	protein-coding
cKO_peak_10071	chr8	109692634	109693547	+	315	NA	intron (NR_155034, intron 1 of 10)	CpG	204	NM_028018	71955	Mm.290036	NM_028018	ENSMUSG00000031729	Ist1	2400003C14Rik|AW536298|mKIAA0174	increased sodium tolerance 1 homolog (yeast)	protein-coding
cKO_peak_405	chr1	134361466	134362020	+	315	NA	intron (NM_001042485, intron 1 of 7)	(CCCCG)n|Simple_repeat|Simple_repeat	256	NM_001042485	57439	Mm.393140	NM_020588	ENSMUSG00000042305	Tmem183a	1300007B12Rik|1700020N19Rik|Tmem183	transmembrane protein 183A	protein-coding
cKO_peak_9366	chr7	110018228	110018881	+	315	NA	intron (NM_181517, intron 1 of 24)	CpG	239	NM_181517	233726	Mm.222328	NM_181517	ENSMUSG00000066232	Ipo7	A330055O14Rik|C330016G14|Imp7|Ranbp7	importin 7	protein-coding
cKO_peak_2562	chr13	14063782	14064844	+	315	NA	promoter-TSS (NM_010282)	promoter-TSS (NM_010282)	529	NM_198122	94246	Mm.439784	NM_194262	ENSMUSG00000039219	Arid4b	BCAA|BRCAA1|RBBP1L1|Rbp1l1|SAP180	AT rich interactive domain 4B (RBP1-like)	protein-coding
cKO_peak_10381	chr9	45905883	45907382	+	315	NA	promoter-TSS (NM_008794)	promoter-TSS (NM_008794)	63	NR_104055	18554	Mm.3255	NM_008794	ENSMUSG00000035382	Pcsk7	AA959856|PC7|SPC7	proprotein convertase subtilisin/kexin type 7	protein-coding
cKO_peak_4579	chr17	63498914	63500770	+	315	NA	exon (NM_015794, exon 1 of 9)	exon (NM_015794, exon 1 of 9)	738	NM_015794	50758	Mm.136366	NM_015794	ENSMUSG00000023965	Fbxl17	6330576B01Rik|AI452053|BB073797|C130023C01Rik|Fbx13|Fbxo13	F-box and leucine-rich repeat protein 17	protein-coding
cKO_peak_9765	chr8	57486604	57487759	+	315	NA	promoter-TSS (NR_126555)	promoter-TSS (NR_126555)	679	NM_021788	60406	Mm.118	NM_021788	ENSMUSG00000031609	Sap30	30kDa	sin3 associated polypeptide	protein-coding
cKO_peak_5966	chr2	129198175	129199598	+	315	NA	5' UTR (NM_001159593, exon 1 of 6)	5' UTR (NM_001159593, exon 1 of 6)	113	NM_015747	20515	Mm.272675	NM_015747	ENSMUSG00000027397	Slc20a1	AI607883|Glvr-1|Glvr1	solute carrier family 20, member 1	protein-coding
cKO_peak_2340	chr12	80945495	80946137	+	315	NA	promoter-TSS (NR_045057)	promoter-TSS (NR_045057)	317	NM_009159	20384	Mm.43331	NM_009159	ENSMUSG00000021134	Srsf5	Sfrs5	serine/arginine-rich splicing factor 5	protein-coding
cKO_peak_319	chr1	93753927	93755452	+	315	NA	promoter-TSS (NM_174874)	promoter-TSS (NM_174874)	149	NM_025920	67026	Mm.272356	NM_025920	ENSMUSG00000026279	Thap4	2010320B01Rik	THAP domain containing 4	protein-coding
cKO_peak_1439	chr11	52098775	52099726	+	314	NA	intron (NM_019411, intron 1 of 6)	CpG	426	NM_019411	19052	Mm.260288	NM_019411	ENSMUSG00000020349	Ppp2ca	PP2A|R75353	protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform	protein-coding
cKO_peak_3321	chr14	79480570	79482491	+	314	NA	promoter-TSS (NM_018765)	promoter-TSS (NM_018765)	-262	NM_018765	22380	Mm.476813	NM_018765	ENSMUSG00000022023	Wbp4	AW545037|BB101031|FBP21	WW domain binding protein 4	protein-coding
cKO_peak_4394	chr17	32363828	32364462	+	310	NA	intron (NR_033525, intron 4 of 10)	intron (NR_033525, intron 4 of 10)	-13568	NM_017476	54194	Mm.281005	NM_017476	ENSMUSG00000002625	Akap8l	HAP95|Nakap95	A kinase (PRKA) anchor protein 8-like	protein-coding
cKO_peak_2756	chr13	55634998	55635523	+	310	NA	intron (NM_001282055, intron 1 of 22)	CpG	261	NM_001282055	212880	Mm.202725	NM_145975	ENSMUSG00000021500	Ddx46	2200005K02Rik|8430438J23Rik|AI325430|AI957095|mKIAA0801	DEAD (Asp-Glu-Ala-Asp) box polypeptide 46	protein-coding
cKO_peak_10469	chr9	59750871	59751638	+	310	NA	promoter-TSS (NM_001172069)	promoter-TSS (NM_001172069)	80	NM_173018	270163	Mm.249545	NM_173018	ENSMUSG00000039585	Myo9a	4732465J09Rik|C130068I12Rik|C230003M11	myosin IXa	protein-coding
cKO_peak_34	chr1	15805618	15806363	+	310	NA	intron (NR_152944, intron 1 of 8)	CpG	344	NM_001286628	21749	Mm.4306	NM_009352	ENSMUSG00000025925	Terf1	Pin2|Trbf1|Trf1	telomeric repeat binding factor 1	protein-coding
cKO_peak_5189	chr19	24555481	24556523	+	310	NA	promoter-TSS (NM_008846)	promoter-TSS (NM_008846)	-130	NM_008846	18719	Mm.217214	NM_008846	ENSMUSG00000024867	Pip5k1b	PI4P5K-I[b]|PIP5K1-beta|PIP5KIbeta|Pipk5b|STM7	phosphatidylinositol-4-phosphate 5-kinase, type 1 beta	protein-coding
cKO_peak_8822	chr6	145249453	145250839	+	310	NA	promoter-TSS (NM_021284)	promoter-TSS (NM_021284)	85	NM_021284	16653	Mm.383182	NM_021284	ENSMUSG00000030265	Kras	AI929937|K-Ras|K-Ras 2|K-ras|Ki-ras|Kras-2|Kras2|c-K-ras|c-Ki-ras|p21B|ras	Kirsten rat sarcoma viral oncogene homolog	protein-coding
cKO_peak_8808	chr6	140423672	140425102	+	310	NA	exon (NM_144920, exon 2 of 31)	exon (NM_144920, exon 2 of 31)	288	NM_144920	109135	Mm.247670	NM_144920	ENSMUSG00000030231	Plekha5	2810431N21Rik|AI428202|AK129423|AMH-Cre|Ayu21-9|Gt(pU21)9Imeg|Pepp2|Tg(AMH-cre)1Flor	pleckstrin homology domain containing, family A member 5	protein-coding
cKO_peak_9962	chr8	88361514	88362244	+	310	NA	intron (NM_012047, intron 1 of 16)	CpG	312	NM_012047	26992	Mm.5400	NM_012047	ENSMUSG00000031660	Brd7	BP75|CELTIX1|Ptpn13ip	bromodomain containing 7	protein-coding
cKO_peak_8498	chr6	61180017	61181129	+	310	NA	5' UTR (NM_001164316, exon 1 of 11)	5' UTR (NM_001164316, exon 1 of 11)	237	NR_040287	100504262	Mm.438066	NR_040287		A730020E08Rik	-	RIKEN cDNA A730020E08 gene	ncRNA
cKO_peak_3134	chr14	47276380	47277318	+	310	NA	promoter-TSS (NM_080843)	promoter-TSS (NM_080843)	8	NM_172598	218973	Mm.265615	NM_172598	ENSMUSG00000037572	Wdhd1	A630092E18|AND-1|D630024B06Rik	WD repeat and HMG-box DNA binding protein 1	protein-coding
cKO_peak_10741	chr9	113741184	113742057	+	309	NA	5' UTR (NM_001286599, exon 1 of 11)	5' UTR (NM_001286599, exon 1 of 11)	147	NM_001286599	76499	Mm.222272	NM_029633	ENSMUSG00000033392	Clasp2	1500004F14Rik|8030404L10Rik|C77448|CLASP2beta|mKIAA0627	CLIP associating protein 2	protein-coding
cKO_peak_5031	chr19	4396111	4397012	+	309	NA	5' UTR (NM_001001984, exon 1 of 21)	5' UTR (NM_001001984, exon 1 of 21)	516	NM_001001984	225876	Mm.31941	NM_001001984	ENSMUSG00000054611	Kdm2a	100043628|5530401A10Rik|AA589516|AW536790|Cxxc8|Fbl11|Fbl7|Fbxl11|Gm4560|Jhdm1|Jhdm1a|lalina	lysine (K)-specific demethylase 2A	protein-coding
cKO_peak_5798	chr2	101678407	101679001	+	308	NA	intron (NM_001303273, intron 1 of 6)	CpG	284	NM_009424	22034	Mm.292729	NM_009424	ENSMUSG00000027164	Traf6	2310003F17Rik|AI851288|C630032O20Rik	TNF receptor-associated factor 6	protein-coding
cKO_peak_9052	chr7	34312940	34313649	+	308	NA	Intergenic	CpG	-27685	NM_172741	233103	Mm.491097	NM_172741	ENSMUSG00000066571	4931406P16Rik	AA553327|mKIAA0355	RIKEN cDNA 4931406P16 gene	protein-coding
cKO_peak_8410	chr6	38875127	38876806	+	307	NA	5' UTR (NM_001294143, exon 1 of 15)	5' UTR (NM_001294143, exon 1 of 15)	224	NM_010433	15258	Mm.23790	NM_010433	ENSMUSG00000061436	Hipk2	1110014O20Rik|B230339E18Rik|Stank	homeodomain interacting protein kinase 2	protein-coding
cKO_peak_7753	chr5	41707356	41708350	+	307	NA	promoter-TSS (NM_001310592)	promoter-TSS (NM_001310592)	-162	NM_001310592	100972	Mm.41555	NM_027295	ENSMUSG00000029128	Rab28	2700023P08Rik|AW496496	RAB28, member RAS oncogene family	protein-coding
cKO_peak_4648	chr17	80727483	80728620	+	306	NA	promoter-TSS (NM_001360278)	promoter-TSS (NM_001360278)	-26	NM_001360278	225028	Mm.311948	NM_001081357	ENSMUSG00000024242	Map4k3	4833416M01Rik|4833416M07Rik|9530052P13Rik|Glk|MAPKKKK3|MEKKK 3|MEKKK3|RAB8IPL1	mitogen-activated protein kinase kinase kinase kinase 3	protein-coding
cKO_peak_1052	chr10	89745012	89745739	+	306	NA	intron (NM_029166, intron 1 of 20)	CpG	384	NM_029166	75089	Mm.268922	NM_029166	ENSMUSG00000019951	Uhrf1bp1l	2010319N22Rik|4930506D01Rik|AA589495|C80672|E030041M21Rik|mKIAA0701	UHRF1 (ICBP90) binding protein 1-like	protein-coding
cKO_peak_7834	chr5	75043950	75044890	+	306	NA	5' UTR (NM_028850, exon 1 of 6)	5' UTR (NM_028850, exon 1 of 6)	221	NM_028850	74277	Mm.239814	NM_028850	ENSMUSG00000029229	Chic2	1700081B18Rik|4930502K01Rik|BTL	cysteine-rich hydrophobic domain 2	protein-coding
cKO_peak_10148	chr8	122475621	122476577	+	306	NA	promoter-TSS (NM_153775)	promoter-TSS (NM_153775)	-25	NM_001033142	68718	Mm.34356	NM_001033142	ENSMUSG00000014470	Rnf166	1110031E24Rik|AW555115|Zfp313l	ring finger protein 166	protein-coding
cKO_peak_976	chr10	80755226	80755793	+	306	NA	exon (NM_199322, exon 1 of 28)	exon (NM_199322, exon 1 of 28)	306	NM_199322	208266	Mm.152371	NM_199322	ENSMUSG00000061589	Dot1l	A630076O07|AW907654|Dot1|KMT4|mDot1	DOT1-like, histone H3 methyltransferase (S. cerevisiae)	protein-coding
cKO_peak_9464	chr7	126976222	126976935	+	306	NA	promoter-TSS (NM_001362232)	promoter-TSS (NM_001362232)	664	NM_001347656	52858	Mm.28219	NM_026638	ENSMUSG00000030682	Cdipt	9530042F15Rik|D7Bwg0575e|Pis|Pis1	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (phosphatidylinositol synthase)	protein-coding
cKO_peak_9401	chr7	118242952	118243643	+	305	NA	promoter-TSS (NR_027879)	promoter-TSS (NR_027879)	340	NM_001031814	233789	Mm.309053	NM_177180	ENSMUSG00000030655	Smg1	2610207I05Rik|5430435M13Rik|C130002K18Rik|mKIAA0421	SMG1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans)	protein-coding
cKO_peak_5732	chr2	83644196	83645062	+	305	NA	promoter-TSS (NM_026934)	promoter-TSS (NM_026934)	51	NM_026934	69082	Mm.27804	NM_026934	ENSMUSG00000027091	Zc3h15	1700006A17Rik|1810012H02Rik|2610312B22Rik|FM22|Ierepo4	zinc finger CCCH-type containing 15	protein-coding
cKO_peak_8061	chr5	122422003	122422964	+	304	NA	promoter-TSS (NM_019805)	promoter-TSS (NM_019805)	39	NM_019805	56317	Mm.37341	NM_019805	ENSMUSG00000029466	Anapc7	APC7|AW545589	anaphase promoting complex subunit 7	protein-coding
cKO_peak_7646	chr5	25497696	25500289	+	304	NA	promoter-TSS (NM_001081383)	promoter-TSS (NM_001081383)	-209	NM_001081383	231051	Mm.332268	NM_001081383	ENSMUSG00000038056	Kmt2c	E330008K23Rik|HALR|Mll3	lysine (K)-specific methyltransferase 2C	protein-coding
cKO_peak_10067	chr8	107587902	107588466	+	304	NA	intron (NM_010817, intron 1 of 6)	CpG	298	NM_010817	17463	Mm.18347	NM_010817	ENSMUSG00000039067	Psmd7	AW107203|Mov-34|Mov34	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7	protein-coding
cKO_peak_5765	chr2	91526648	91527468	+	304	NA	intron (NM_001165989, intron 1 of 43)	CpG	296	NM_001165989	75786	Mm.168478	NM_029437	ENSMUSG00000040549	Ckap5	3110043H24Rik|4930432B04Rik|D730027C18Rik|T25636|mKIAA0097	cytoskeleton associated protein 5	protein-coding
cKO_peak_4484	chr17	45432976	45434305	+	304	NA	promoter-TSS (NR_130960)	promoter-TSS (NR_130960)	67	NM_152810	71702	Mm.28270	NM_152810	ENSMUSG00000023932	Cdc5l	1200002I02Rik|AA408004|PCDC5RP	cell division cycle 5-like (S. pombe)	protein-coding
cKO_peak_9562	chr7	141562248	141562949	+	304	NA	intron (NM_007459, intron 1 of 21)	CpG	418	NM_007459	11772	Mm.253090	NM_007459	ENSMUSG00000002957	Ap2a2	2410074K14Rik|AF006990|AW146353|Adtab|C78001|L25	adaptor-related protein complex 2, alpha 2 subunit	protein-coding
cKO_peak_5840	chr2	112379164	112379752	+	304	NA	intron (NM_024254, intron 1 of 9)	CpG	247	NM_024254	72425	Mm.425091	NM_024254	ENSMUSG00000027132	Katnbl1	2410042D21Rik|AA166487|AA473307|AI467442	katanin p80 subunit B like 1	protein-coding
cKO_peak_3948	chr16	20516781	20517482	+	304	NA	5' UTR (NM_007889, exon 1 of 15)	5' UTR (NM_007889, exon 1 of 15)	145	NM_001347176	13544	Mm.247259	NM_007889	ENSMUSG00000003233	Dvl3	b2b2866Clo	dishevelled segment polarity protein 3	protein-coding
cKO_peak_464	chr1	155158661	155159366	+	304	NA	intron (NM_021433, intron 1 of 7)	CpG	310	NM_021433	58244	Mm.66264	NM_021433	ENSMUSG00000026470	Stx6	2310039E05Rik|2410005I16Rik|AA437559|AI415714|AI845861	syntaxin 6	protein-coding
cKO_peak_3136	chr14	47472614	47473227	+	304	NA	intron (NM_030236, intron 1 of 1)	CpG	359	NR_027414	78938	Mm.11935	NM_030236	ENSMUSG00000037536	Fbxo34	2900057B08Rik|5830426G16Rik	F-box protein 34	protein-coding
cKO_peak_2024	chr11	116489876	116490415	+	304	NA	exon (NM_026364, exon 1 of 10)	exon (NM_026364, exon 1 of 10)	201	NM_026364	67763	Mm.25125	NM_026364	ENSMUSG00000015869	Prpsap1	5730409F23Rik|PAP39	phosphoribosyl pyrophosphate synthetase-associated protein 1	protein-coding
cKO_peak_1948	chr11	106216853	106217468	+	304	NA	promoter-TSS (NM_026009)	promoter-TSS (NM_026009)	234	NM_001361643	72047	Mm.41367	NM_028074	ENSMUSG00000020705	Ddx42	1810047H21Rik|AW319508|AW556242|B430002H05Rik|RHELP|RNAHP|SF3b125	DEAD (Asp-Glu-Ala-Asp) box polypeptide 42	protein-coding
cKO_peak_4972	chr18	77065087	77065935	+	304	NA	promoter-TSS (NM_001164170)	promoter-TSS (NM_001164170)	-169	NM_001164170	17344	Mm.6370	NM_008602	ENSMUSG00000025423	Pias2	6330408K17Rik|AI462206|ARIP3|AU018068|Dib|Miz1|PIASxalpha|PIASxb|PIASxbeta|SIZ2	protein inhibitor of activated STAT 2	protein-coding
cKO_peak_7054	chr4	81442243	81442968	+	304	NA	intron (NM_010820, intron 1 of 46)	CpG	210	NM_001305286	17475	Mm.153039	NM_010820	ENSMUSG00000028402	Mpdz	AI225843|B930003D11Rik|MUPP1	multiple PDZ domain protein	protein-coding
cKO_peak_867	chr10	62980220	62980723	+	304	NA	intron (NM_027425, intron 1 of 17)	CpG	219	NM_027425	70432	Mm.234587	NM_027425	ENSMUSG00000020070	Rufy2	2610111M19Rik|AI844453|Denn|LZ-FYVE|ZFYVE13	RUN and FYVE domain-containing 2	protein-coding
